Home,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
1,1,113,96,45,95,0.474,9,26,0.34600000000000003,14,17,0.8240000000000001,10,45,29,15,6,19,22,35,87,0.402,7,32,0.21899999999999997,19,24,0.792,11,41,20,15,2,21,18
0,1,85,83,34,84,0.405,5,20,0.25,12,20,0.6,10,52,14,8,4,21,24,34,87,0.391,7,22,0.318,8,18,0.444,8,41,22,13,5,17,19
0,0,96,122,35,87,0.402,10,27,0.37,16,28,0.5710000000000001,13,41,20,8,6,16,20,46,89,0.517,14,30,0.467,16,20,0.8,15,46,27,9,14,15,18
1,1,112,92,45,86,0.523,7,16,0.43799999999999994,15,24,0.625,11,41,24,9,9,12,21,33,84,0.39299999999999996,4,19,0.21100000000000002,22,29,0.759,17,41,12,7,8,17,19
1,1,97,85,37,85,0.435,9,28,0.321,14,17,0.8240000000000001,10,47,24,8,5,16,18,31,84,0.369,4,17,0.235,19,22,0.8640000000000001,12,41,12,8,7,12,16
1,0,102,112,31,74,0.419,12,34,0.353,28,31,0.903,11,39,18,6,5,19,21,43,83,0.518,11,26,0.423,15,22,0.682,7,35,25,10,6,11,24
1,0,108,110,38,88,0.43200000000000005,16,28,0.5710000000000001,16,19,0.8420000000000001,9,45,21,3,1,16,27,39,86,0.45299999999999996,11,27,0.40700000000000003,21,35,0.6,11,45,18,9,3,10,20
1,0,117,119,47,92,0.511,7,25,0.28,16,26,0.615,12,42,22,4,6,10,19,46,86,0.535,11,24,0.45799999999999996,16,20,0.8,8,38,24,4,7,9,20
0,0,88,104,33,88,0.375,5,27,0.185,17,22,0.773,13,51,16,3,6,15,21,43,92,0.467,5,16,0.313,13,16,0.813,4,47,25,4,9,9,14
1,1,105,103,40,84,0.47600000000000003,12,25,0.48,13,14,0.929,5,44,25,7,7,16,15,40,92,0.435,14,40,0.35,9,14,0.643,12,47,25,10,4,16,10
1,1,124,105,49,89,0.551,7,26,0.26899999999999996,19,24,0.792,10,46,23,9,5,16,24,35,83,0.42200000000000004,11,29,0.379,24,30,0.8,7,30,19,6,2,16,19
1,0,111,115,44,101,0.436,10,36,0.278,13,18,0.722,15,49,28,10,7,20,23,40,89,0.449,11,22,0.5,24,31,0.774,15,51,23,13,2,22,20
0,0,109,111,45,92,0.489,11,27,0.40700000000000003,8,11,0.727,11,40,29,11,6,15,14,42,83,0.506,14,27,0.519,13,16,0.813,6,35,25,8,7,17,17
0,0,101,116,32,76,0.42100000000000004,7,25,0.28,30,38,0.789,5,38,18,7,7,9,21,44,94,0.46799999999999997,12,28,0.429,16,17,0.941,11,46,26,4,1,11,23
0,1,132,129,48,96,0.5,13,26,0.5,23,29,0.7929999999999999,7,40,29,11,4,12,21,48,101,0.475,12,34,0.353,21,27,0.778,13,52,34,9,7,16,21
1,1,106,88,42,83,0.506,8,23,0.348,14,26,0.5379999999999999,10,43,23,4,3,10,16,37,82,0.451,1,19,0.053,13,17,0.765,6,32,11,7,1,8,20
0,1,112,103,46,92,0.5,8,22,0.364,12,18,0.667,17,53,25,4,7,14,22,36,91,0.396,6,19,0.316,25,28,0.893,12,40,20,9,11,5,16
1,1,126,115,46,95,0.484,12,30,0.4,22,31,0.71,9,47,28,10,4,13,22,44,98,0.449,10,28,0.35700000000000004,17,26,0.654,11,48,25,8,3,11,25
1,1,101,92,41,89,0.461,6,28,0.214,13,26,0.5,11,59,24,7,5,15,15,36,98,0.36700000000000005,6,28,0.214,14,19,0.737,12,51,15,8,6,11,22
0,1,102,99,37,80,0.46299999999999997,10,31,0.32299999999999995,18,28,0.643,8,43,26,9,5,19,27,34,77,0.442,7,22,0.318,24,32,0.75,7,36,26,13,3,18,24
1,0,99,102,34,81,0.42,7,28,0.25,24,31,0.774,9,46,18,9,5,17,19,36,92,0.391,11,42,0.262,19,30,0.633,16,52,26,9,1,15,24
1,1,99,96,41,83,0.494,3,21,0.14300000000000002,14,27,0.519,15,49,17,9,7,12,9,40,90,0.444,11,32,0.344,5,8,0.625,12,40,28,9,4,13,22
0,0,95,114,33,87,0.379,8,27,0.29600000000000004,21,28,0.75,16,43,18,10,2,21,21,43,80,0.5379999999999999,8,23,0.348,20,27,0.741,8,37,23,11,9,14,26
0,0,89,109,30,82,0.366,6,19,0.316,23,27,0.852,13,38,14,4,3,9,18,42,72,0.583,13,23,0.565,12,15,0.8,4,38,22,4,6,14,22
1,1,114,101,41,81,0.506,7,16,0.43799999999999994,25,34,0.735,10,42,28,12,4,13,21,39,90,0.433,8,22,0.364,15,20,0.75,16,43,16,5,5,16,23
1,0,108,110,39,87,0.44799999999999995,10,35,0.28600000000000003,20,26,0.769,15,44,13,8,3,12,18,41,75,0.547,9,23,0.391,19,24,0.792,5,35,24,5,2,15,20
0,1,121,110,45,88,0.511,11,28,0.39299999999999996,20,24,0.833,13,49,22,8,6,10,20,42,88,0.47700000000000004,8,20,0.4,18,23,0.7829999999999999,6,33,25,4,3,9,18
0,1,117,112,41,80,0.513,11,26,0.423,24,36,0.667,10,44,27,5,6,13,21,41,93,0.441,9,28,0.321,21,26,0.8079999999999999,10,39,29,8,2,12,29
1,1,112,100,42,82,0.512,8,24,0.33299999999999996,20,24,0.833,9,42,26,8,4,15,24,39,83,0.47,4,12,0.33299999999999996,18,23,0.7829999999999999,11,36,19,11,2,12,21
0,1,106,94,42,82,0.512,5,19,0.263,17,25,0.68,14,46,21,3,4,17,21,36,82,0.439,7,22,0.318,15,21,0.7140000000000001,9,32,14,10,4,12,23
0,0,80,114,25,74,0.33799999999999997,4,22,0.182,26,38,0.684,14,39,9,5,7,18,18,43,82,0.524,13,22,0.591,15,20,0.75,11,39,24,8,9,12,27
1,1,114,88,37,78,0.474,10,29,0.345,30,35,0.857,8,44,25,9,6,9,20,31,75,0.413,8,30,0.267,18,21,0.857,7,38,14,4,4,15,25
0,0,94,98,36,78,0.462,9,27,0.33299999999999996,13,19,0.684,8,40,20,7,5,10,20,38,79,0.48100000000000004,7,19,0.368,15,24,0.625,7,39,21,4,4,10,17
0,0,112,123,42,96,0.43799999999999994,9,30,0.3,19,23,0.826,14,51,22,6,3,14,31,37,80,0.46299999999999997,9,24,0.375,40,49,0.816,10,43,25,8,10,11,21
0,0,116,118,41,91,0.451,12,30,0.4,22,27,0.815,16,54,15,6,9,9,21,41,86,0.47700000000000004,15,39,0.385,21,30,0.7,9,43,27,6,3,9,20
1,1,121,106,43,89,0.483,12,36,0.33299999999999996,23,29,0.7929999999999999,6,49,23,8,11,10,20,40,99,0.40399999999999997,9,24,0.375,17,24,0.708,15,53,18,7,4,12,23
0,1,109,94,47,83,0.5660000000000001,7,24,0.292,8,11,0.727,6,42,30,5,5,12,17,34,83,0.41,7,19,0.368,19,22,0.8640000000000001,9,38,18,7,2,11,13
1,1,103,95,36,81,0.444,8,26,0.308,23,29,0.7929999999999999,11,53,21,5,4,16,18,38,92,0.413,7,24,0.292,12,21,0.5710000000000001,13,39,18,11,5,10,26
0,0,86,96,33,85,0.38799999999999996,3,20,0.15,17,21,0.81,16,47,19,10,2,18,21,39,86,0.45299999999999996,5,18,0.278,13,14,0.929,9,42,21,11,6,15,22
0,1,122,118,40,90,0.444,9,28,0.321,33,41,0.805,17,44,20,14,4,19,28,37,81,0.457,9,25,0.36,35,40,0.875,14,44,24,13,6,22,29
0,0,98,120,36,85,0.424,10,30,0.33299999999999996,16,19,0.8420000000000001,9,36,18,10,4,15,15,45,82,0.5489999999999999,12,28,0.429,18,22,0.818,10,47,27,9,5,15,15
0,0,100,121,38,90,0.42200000000000004,8,28,0.28600000000000003,16,19,0.8420000000000001,13,36,23,11,6,18,22,46,85,0.541,10,21,0.47600000000000003,19,27,0.7040000000000001,11,46,35,11,8,18,16
0,1,97,95,36,83,0.434,6,20,0.3,19,25,0.76,8,45,17,6,6,10,23,36,84,0.429,5,21,0.23800000000000002,18,26,0.6920000000000001,8,42,16,10,7,10,18
0,1,114,105,42,91,0.462,10,27,0.37,20,28,0.7140000000000001,12,55,24,6,11,16,18,41,96,0.42700000000000005,11,27,0.40700000000000003,12,19,0.632,9,46,23,7,9,12,23
1,1,109,98,37,72,0.514,9,22,0.409,26,36,0.722,7,43,13,7,2,16,17,38,84,0.452,11,26,0.423,11,13,0.846,8,36,17,10,2,12,26
0,0,91,107,37,100,0.37,6,26,0.231,11,16,0.688,13,55,20,5,4,16,19,41,92,0.446,8,29,0.276,17,22,0.773,8,51,22,9,6,10,16
0,0,94,108,30,85,0.353,7,28,0.25,27,32,0.8440000000000001,12,50,21,12,7,20,30,37,86,0.43,7,21,0.33299999999999996,27,38,0.711,10,50,16,12,13,17,25
1,0,100,128,38,100,0.38,10,37,0.27,14,17,0.8240000000000001,11,37,17,6,4,9,23,49,81,0.605,6,15,0.4,24,30,0.8,4,42,25,7,2,9,19
1,1,114,102,38,80,0.475,13,26,0.5,25,33,0.758,16,47,21,7,3,20,21,40,83,0.48200000000000004,3,19,0.158,19,22,0.8640000000000001,8,29,21,10,5,12,28
1,1,105,99,40,98,0.408,4,18,0.222,21,28,0.75,17,56,18,9,5,12,17,35,87,0.402,10,28,0.35700000000000004,19,21,0.905,11,44,15,6,4,12,22
0,0,90,93,34,88,0.386,7,28,0.25,15,21,0.7140000000000001,20,61,17,6,11,16,21,33,87,0.379,8,26,0.308,19,29,0.655,13,37,19,7,10,10,17
1,1,118,109,50,106,0.47200000000000003,8,27,0.29600000000000004,10,13,0.769,17,51,24,10,5,13,23,38,79,0.48100000000000004,10,21,0.47600000000000003,23,30,0.767,5,35,14,9,6,16,14
1,0,114,130,40,83,0.48200000000000004,6,24,0.25,28,36,0.778,12,43,20,7,8,19,23,46,87,0.529,13,31,0.419,25,35,0.7140000000000001,10,40,28,10,3,11,22
0,0,98,120,34,96,0.354,7,34,0.20600000000000002,23,30,0.767,20,47,16,10,2,15,22,42,73,0.575,13,20,0.65,23,28,0.821,6,40,27,4,9,22,24
1,1,116,105,41,88,0.466,12,23,0.522,22,31,0.71,12,48,21,10,4,12,13,41,86,0.47700000000000004,11,21,0.524,12,14,0.857,6,39,19,8,12,15,21
1,1,110,93,44,97,0.45399999999999996,10,24,0.41700000000000004,12,17,0.706,14,59,28,9,6,17,14,40,101,0.396,7,35,0.2,6,14,0.429,15,51,23,15,8,13,19
1,1,118,110,42,88,0.47700000000000004,6,21,0.28600000000000003,28,37,0.757,16,53,17,4,0,13,29,36,80,0.45,8,21,0.381,30,37,0.8109999999999999,7,35,17,10,1,10,26
1,1,109,106,39,76,0.513,15,22,0.682,16,23,0.696,6,42,20,5,7,14,17,43,93,0.462,9,22,0.409,11,13,0.846,8,33,22,8,4,7,18
0,0,109,114,34,86,0.395,11,29,0.379,30,32,0.938,12,40,11,9,7,12,25,39,79,0.494,10,25,0.4,26,35,0.743,9,45,19,9,7,14,19
0,0,111,118,37,87,0.425,9,35,0.257,28,35,0.8,11,47,14,10,5,19,30,44,89,0.494,5,21,0.23800000000000002,25,31,0.8059999999999999,9,45,28,10,7,17,26
0,0,89,104,33,82,0.402,2,22,0.091,21,30,0.7,13,49,19,4,2,15,21,42,86,0.488,7,25,0.28,13,16,0.813,5,37,24,6,2,8,20
1,0,121,126,44,85,0.518,10,25,0.4,23,30,0.767,12,39,16,4,1,17,25,47,85,0.5529999999999999,11,23,0.478,21,27,0.778,12,36,24,7,5,11,23
